Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
deleteSheetIfExists_,"ss, sheetName, protectedName1, protectedName2",6603,6626,buildTemplateFromDashboardSafely_; createActiveDemoPFromRawData_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyBannerSheet_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; renameSheetSafely_,,,deleteSheet,Private/helper,Reachable,High
writeBannerReportDates_,"sheet, reportDate",6627,6635,formatBannerReport; formatMonthlyBannerSheet_,,,setValue,Private/helper,Reachable,High
copyRawBannerDataToOutput_,"rawSheet, outputSheet",6636,6686,formatBannerReport; formatMonthlyBannerSheet_,ensureSheetHasAtLeastRows_,,setValues,Private/helper,Reachable,High
ensureSheetHasAtLeastRows_,"sheet, requiredRows",6687,6693,copyRawBannerDataToOutput_,,,,Private/helper,Reachable,Low
validateBannerFormatterOutput_,sheet,6694,6721,validateActiveBannerFormatterOutput,normalizeHeader_,,,Private/helper,Reachable,Low
archiveRawSourceAndDeleteLocal_,"ss, rawSheet, archiveName, outputSheet, timing",6722,6743,formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyBannerSheet_; formatMonthlyDashboardSheetFromSource_,archiveRawDataSheet_; markFrameworkStep_; notify_,,deleteSheet,Private/helper,Reachable,High
archiveRawDataSheet_,"sourceSheet, archiveName",6744,6765,archiveActiveRawDataSheet; archiveRawSourceAndDeleteLocal_,deleteArchiveSheetIfExists_; hideSheetIfNeeded_; logBestEffortWarning_,SpreadsheetApp,copyTo,Private/helper,Reachable,High
hideMonthlyImportSheets,,6766,6778,,buildPromptedMonthContext_; hideMonthlySheetsBySpecs_; promptForLockedYearReportMonth_,,,Public,Reachable,Low
hideMonthlyActiveSheets,,6779,6789,,buildPromptedMonthContext_; hideMonthlySheetsBySpecs_; promptForLockedYearReportMonth_,,,Public,Reachable,Low
hideMonthlySheetsBySpecs_,"processName, parsedMonth, specs",6790,6814,hideMonthlyActiveSheets; hideMonthlyImportSheets,enforceGlobalSheetSortOrder_; findArchiveMonthlyCandidateSheets_; notify_; runFrameworkTimed_,SpreadsheetApp,,Private/helper,Reachable,Medium
archiveMonthlyImportSheets,,6815,6831,,archiveMonthlySheetsBySpecs_; buildPromptedMonthContext_; enforceGlobalSheetSortOrder_; notifyArchiveMonthlySheetsResult_; promptForLockedYearReportMonth_; runFrameworkTimed_,,,Public,Reachable,Low
archiveMonthlyActiveSheets,,6832,6848,,archiveMonthlySheetsBySpecs_; buildPromptedMonthContext_; enforceGlobalSheetSortOrder_; generateArchiveFileIndex_; notifyArchiveMonthlySheetsResult_; promptForLockedYearReportMonth_; runFrameworkTimed_,,,Public,Reachable,Low
archiveMonthlySheetsBySpecs_,"parsedMonth, specs, timing",6849,6887,archiveMonthlyActiveSheets; archiveMonthlyImportSheets,copySheetToArchiveAndDeleteLocal_; findArchiveMonthlyCandidateSheets_; logBestEffortWarning_; markFrameworkStep_,SpreadsheetApp,,Private/helper,Reachable,Medium
findArchiveMonthlyCandidateSheets_,"ss, keywords, monthLabel",6888,6911,archiveMonthlySheetsBySpecs_; hideMonthlySheetsBySpecs_,,,sort,Private/helper,Reachable,High
copySheetToArchiveAndDeleteLocal_,"ss, archiveSs, sourceSheet, archiveName",6912,6936,archiveMonthlySheetsBySpecs_,clearMonthlySheetLookupCache_; deleteArchiveSheetIfExists_; hideSheetIfNeeded_; logBestEffortWarning_,,copyTo; deleteSheet,Private/helper,Reachable,High
notifyArchiveMonthlySheetsResult_,"title, monthLabel, result",6937,6945,archiveMonthlyActiveSheets; archiveMonthlyImportSheets,notify_,,,Private/helper,Reachable,Low
deleteArchiveSheetIfExists_,"archiveSs, sheetName",6946,6961,archiveRawDataSheet_; copySheetToArchiveAndDeleteLocal_,,Session; Utilities,clear; deleteSheet,Private/helper,Reachable,High
formatMonthlyChangeSubheaderRow,"sheet, rowNumber, label",6962,6966,,formatMonthlyChangeSubsectionBlock,,,Public,Reachable,Low
formatMonthlyChangeSubsectionBlock,"sheet, titleRow, label",6967,6978,formatMonthlyChangeSubheaderRow,formatMonthlyChangeSubsectionBlock_; getSheetDefinitionByType_; loadDashboardConfig_,,,Public,Reachable,Low
getMonthlyChangeSubsectionLabels,,6979,6982,,,,,Public,No static path,Low
normalizeNumberFormatForCompare_,format,6983,7003,numberFormatsMatch_,,,,Private/helper,Reachable,Low
numberFormatsMatch_,"actual, expected",7004,7009,validateTemplateFromDashboard_,normalizeNumberFormatForCompare_,,,Private/helper,Reachable,Low
validateTemplateFromDashboard_,"dashboard, sheetDef, options",7010,7155,validateReportTemplatesCore_,buildTemplateFormatSignature_; getBehaviorForSheetType_; getExpectedNumberFormat_; getGoogleSheetsNumberFormat_; getHeadersForSheetType_; getStoredTemplateFormatSignatureFromSheet_; getStoredTemplateFormatSignature_; normalizeTemplateFormatSignature_; numberFormatsMatch_; resolveTemplateRowCount_,SpreadsheetApp,,Private/helper,Reachable,Medium
writeTemplateValidationReport_,"results, options",7156,7160,validateReportTemplatesCore_,deleteLegacyQualityReportSheet_; saveDashboardQualityRowsForTemplateValidation_,,,Private/helper,Reachable,Low
formatRawData,,7161,7248,,buildRawDataSheetName_; clearSheetRuntimeCachesForSheet_; createRawDataOutputSheetFromTemplateFast_; deleteSheetIfExists_; getHeadersForSheetType_; getRawDataSourceDataForOutput_; getSheetDefinitionByType_; loadDashboardConfig_; lockFinalOutputRowHeights_; mapRowsToHeaders_; markRuntimeStep_; notifyErrorWithTiming_; notify_; processRawDataApprovedSyncColumns_; promptForLockedYearReportMonth_; startRuntimeTiming_; syncRawDataBannerColumns_; writeRuntimeTimingReport_,SpreadsheetApp,deleteSheet,Public,Reachable,High
ensureRawDataHeaderRows_,sheet,7249,7266,,clearSheetRuntimeCachesForSheet_; rowLooksLikeParticipantHeader_,,,Private/helper,No static path,Low
rowLooksLikeParticipantHeader_,row,7267,7276,ensureRawDataHeaderRows_; rawDataSourceHeaderRow_,normalizeHeader_,,,Private/helper,Reachable,Low
getRawDataCurrentHeadersOrDefaults_,sheet,7277,7283,,getHeaders_; getRawDataDemoPSourceHeaders_,,,Private/helper,No static path,Low
enforceDemoPStrictDashboardSchema_,sheet,7284,7326,,clearSheetRuntimeCachesForSheet_; getHeadersForSheetType_; getHeaders_; loadDashboardConfig_; logBestEffortWarning_,,,Private/helper,No static path,Low
buildRawDataSourceArchiveName_,monthParts,7327,7331,,,Session; Utilities,,Private/helper,No static path,Medium
mapRowsToHeaders_,"sourceRows, sourceHeaders, targetHeaders",7339,7351,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; updateExistingDemoPFromRawData_,buildHeaderIndexMap_,,,Private/helper,Reachable,Low
applyUniversalFastCanvasFormatting_,"sheet, dashboard, headers",7352,7369,createActiveDemoPFromRawData_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_,applyColumnWidths_; applyHiddenColumnSettings_,SpreadsheetApp,,Private/helper,Reachable,Medium
applyGovernedTextAndNumberFormats_,"sheet, dashboard, headers, dataStartRow, rowCount",7370,7401,applyTemplateBaseFormatting_; buildTemplateFromDashboard_; createActiveDemoPFromRawData_; createMasterListSheetFromTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; rebuildProductionMonthlyChangeTemplate; refreshTemplateMetadataOnly_,isDateLikeHeader_; rowColToA1_,,,Private/helper,Reachable,Low
applyGovernedAlternatingColorsIfEnabled_,"sheet, dashboard, sheetDef, headers, dataStartRow, rowCount",7402,7415,createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_,applyAlternatingColorRules_; getBehaviorForSheetType_; getThemeColorsFromBase_,,,Private/helper,Reachable,Low
applyOutputVisibilityPolicy_,"sheet, dashboard, sheetType, timing",7416,7427,formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyBannerSheet_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; organizeWorkbookTabs_,getBehaviorForSheetType_; hideSheetIfNeeded_; loadDashboardConfig_; normalizeDashboardSheetTypeKey_; showSheetIfNeeded_,,,Private/helper,Reachable,Low
createOutputSheetFromDashboardTemplate_,"sheetType, outputName, outputRows, firstDay, endDate",7428,7502,formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_,applyGovernedAlternatingColorsIfEnabled_; applyGovernedTextAndNumberFormats_; applyUniversalFastCanvasFormatting_; clearSheetRuntimeCachesForSheet_; deleteSheetIfExists_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_; normalizeDashboardSheetTypeKey_; resizeSheetGrid_,SpreadsheetApp,copyTo; createFilter; insertSheet; setValue; setValues,Private/helper,Reachable,High
createRawDataOutputSheetFromTemplateFast_,"sheetType, outputName, outputRows, firstDay, endDate, sourceName",7503,7584,formatMonthlyRawDataSheetFromSource_; formatRawData,applyGovernedAlternatingColorsIfEnabled_; applyGovernedTextAndNumberFormats_; applyUniversalFastCanvasFormatting_; clearSheetRuntimeCachesForSheet_; deleteSheetIfExists_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_; logBestEffortWarning_; normalizeDashboardSheetTypeKey_; resizeSheetGrid_,SpreadsheetApp,copyTo; createFilter; insertSheet; setValue; setValues,Private/helper,Reachable,High
ensureOutputSheetHasFormattedRows_,"sheet, requiredRows, width",7585,7615,updateDemoPMonthlySync; updateExistingDemoPFromRawData_,logBestEffortWarning_,,copyTo,Private/helper,Reachable,High
syncRawDataBannerColumns_,"rawSheet, monthParts",7616,7699,formatMonthlyRawDataSheetFromSource_; formatRawData,buildSourceMapByCompositeKeyForDemoPBanner_; clearSheetRuntimeCachesForSheet_; getCurrentBannersSheet_; getDataValues_; getPMRIndex_; isPrimaryPMRRowValue_; logBestEffortWarning_; normalizeKeyPart_; writeChangedColumnsOnly_,,,Private/helper,Reachable,Low
buildSourceMapByCompositeKeyForDemoPBanner_,"sheet, headerRow, dataStartRow, keyHeaders",7700,7740,syncRawDataBannerColumns_,buildHeaderIndexMap_; getHeaders_; normalizeKeyPart_,,,Private/helper,Reachable,Low
formatCarePlanDueReport,,7741,7750,,formatCarePlanDueOrUnlockedFromDashboard_,,,Public,Reachable,Low
formatUnlockedCarePlanReport,,7751,7759,,formatCarePlanDueOrUnlockedFromDashboard_,,,Public,Reachable,Low
formatCarePlanDueOrUnlockedFromDashboard_,"sheetType, promptTitle, startDateCellA1, endDateCellA1",7760,7854,formatCarePlanDueReport; formatUnlockedCarePlanReport,applyOutputVisibilityPolicy_; archiveRawSourceAndDeleteLocal_; buildDashboardOutputSheetName_; buildRawArchiveNameForSheetType_; clearSheetRuntimeCachesForSheet_; coerceToValidDate_; collectAndClearMovedTitleInfoCells_; createOutputSheetFromDashboardTemplate_; deleteSheetIfExists_; getDataValues_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_; lockFinalOutputRowHeights_; mapRowsToHeaders_; markFrameworkStep_; notify_; prepareCarePlanSourceSheetForDashboardFormat_; promptForLockedYearReportMonth_; runFrameworkTimed_,SpreadsheetApp,setValue,Private/helper,Reachable,High
buildRawArchiveNameForSheetType_,"sheetType, monthParts",7855,7881,formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_,,Session; Utilities,,Private/helper,Reachable,Medium
collectAndClearMovedTitleInfoCells_,"sheet, sheetType",7882,7908,formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_,logBestEffortWarning_,,clearContent,Private/helper,Reachable,High
prepareCarePlanSourceSheetForDashboardFormat_,"sheet, sheetType, headers",7909,7915,formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_,clearSheetRuntimeCachesForSheet_,,,Private/helper,Reachable,Low
prepareRawDataSourceSheetForDashboardFormat_,"sheet, headers",7916,7929,,getHeaders_,,,Private/helper,No static path,Low
buildRawDataHeadersForFormatting_,"sheet, fallbackHeaders",7930,7940,,getHeaders_,,,Private/helper,No static path,Low
getRawDataApprovedAddedColumns_,,7941,7946,processRawDataApprovedSyncColumns_,,,,Private/helper,Reachable,Low
processRawDataApprovedSyncColumns_,"sheet, monthParts",7947,7970,formatMonthlyRawDataSheetFromSource_; formatRawData,assignPrimaryPMRRowsInData_; clearSheetRuntimeCachesForSheet_; getDataValues_; getRawDataApprovedAddedColumns_; writeChangedColumnsOnly_,,,Private/helper,Reachable,Low
writeChangedColumnsOnly_,"sheet, data, beforeValues",7971,8013,processRawDataApprovedSyncColumns_; syncRawDataBannerColumns_,valuesAreEqual_,,setValues; sort,Private/helper,Reachable,High
getRawDataDemoPSourceHeaders_,,8014,8072,getRawDataCurrentHeadersOrDefaults_,,,,Private/helper,No static path,Low
getRawDataDisallowedWorkingColumns_,,8073,8123,,,,,Private/helper,No static path,Low
isOngoingOutputSheetType_,sheetType,8124,8131,buildDashboardOutputSheetName_,,,,Private/helper,Reachable,Low
buildDashboardOutputSheetName_,"sheetDef, monthParts",8132,8159,formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_,formatDateForSheetName_; isOngoingOutputSheetType_; safeSheetName_,Session; Utilities,,Private/helper,Reachable,Medium
syncMasterListMonthlySourcesIntoData_,"data, monthParts, pmrFilter",8167,8172,processMasterListSingleDataPass_,syncBannerSourceIntoData_; syncCarePlanDueSourceIntoData_; syncUnlockedCarePlanSourceIntoData_,,,Private/helper,Reachable,Low
syncBannerSourceIntoData_,"data, monthParts, pmrFilter",8173,8201,syncMasterListMonthlySourcesIntoData_,buildSourceMapBySingleKeyForPart5_; getCurrentBannersSheet_; notify_; syncRowsFromSourceMapData_,,,Private/helper,Reachable,Low
syncUnlockedCarePlanSourceIntoData_,"data, monthParts, pmrFilter",8202,8236,createMasterList; syncMasterListMonthlySourcesIntoData_,buildSourceMapBySingleKeyForPart5_; getCurrentUnlockedCarePlanSheet_; notify_; syncRowsFromSourceMapData_,,,Private/helper,Reachable,Low
syncCarePlanDueSourceIntoData_,"data, monthParts, pmrFilter",8237,8270,createMasterList; syncMasterListMonthlySourcesIntoData_,buildSourceMapBySingleKeyForPart5_; getCurrentCarePlanDueSheet_; notify_; syncRowsFromSourceMapData_,,,Private/helper,Reachable,Low
syncRowsFromSourceMapData_,"data, sourceMap, config, pmrFilter",8271,8309,syncBannerSourceIntoData_; syncCarePlanDueSourceIntoData_; syncUnlockedCarePlanSourceIntoData_,normalizeKeyPart_; normalizeSyncFieldPairs_; shouldProcessRowByPMR_,,,Private/helper,Reachable,Low
buildSourceMapBySingleKeyForPart5_,"sheet, headerRow, dataStartRow, keyHeader",8310,8348,syncBannerSourceIntoData_; syncCarePlanDueSourceIntoData_; syncMasterListFromUnlockedCarePlan_; syncUnlockedCarePlanSourceIntoData_,getDataValues_; normalizeKeyPart_,,,Private/helper,Reachable,Low
buildSourceMapByCompositeKeyForPart5_,"sheet, headerRow, dataStartRow, keyHeaders",8349,8389,syncMasterListFromBanners_; syncMasterListFromCarePlanDue_,getDataValues_; normalizeKeyPart_,,,Private/helper,No static path,Low
shouldProcessRowByPMR_,"row, headerMap, pmrFilter",8390,8415,combineAddressesData_; combineNotesSummaryData_; handleLanguageData_; populateDemoPNameData_; populateParticipantNameData_; splitPhoneNumbersData_; syncRowsFromSourceMapData_; syncRowsFromSourceMap_; updateBannerColumnData_; writePMRContactsToParticipantRows_,getDOBIndex_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_,,,Private/helper,Reachable,Low
normalizeSyncFieldPairs_,fields,8416,8422,syncRowsFromSourceMapData_; syncRowsFromSourceMap_,,,,Private/helper,Reachable,Low
syncMasterListFromBanners_,"masterSheet, monthParts, pmrFilter",8423,8453,,buildSourceMapByCompositeKeyForPart5_; getCurrentBannersSheet_; notify_; syncRowsFromSourceMap_,SpreadsheetApp,,Private/helper,No static path,Medium
syncMasterListFromUnlockedCarePlan_,"masterSheet, monthParts, pmrFilter",8454,8489,,buildSourceMapBySingleKeyForPart5_; getCurrentUnlockedCarePlanSheet_; notify_; syncRowsFromSourceMap_,SpreadsheetApp,,Private/helper,String referenced,Medium
syncMasterListFromCarePlanDue_,"masterSheet, monthParts, pmrFilter",8490,8523,,buildSourceMapByCompositeKeyForPart5_; getCurrentCarePlanDueSheet_; notify_; syncRowsFromSourceMap_,,,Private/helper,String referenced,Low
syncRowsFromSourceMap_,"masterSheet, sourceMap, config, pmrFilter",8524,8574,syncMasterListFromBanners_; syncMasterListFromCarePlanDue_; syncMasterListFromUnlockedCarePlan_,getDataValues_; normalizeKeyPart_; normalizeSyncFieldPairs_; shouldProcessRowByPMR_,,setValues,Private/helper,No static path,High
getDefaultDemoPMetadataHeaderRows_v155_,,8686,8702,,h_,,,Private/helper,No static path,Low
buildDemoPFromScratch,,8703,8730,,createActiveDemoPFromRawData_; enforceDemoPPostFlattenFormatting_; getCurrentRawDataSheet_; markRuntimeStep_; notifyErrorWithTiming_; notify_; promptForLockedYearReportMonth_; startRuntimeTiming_; writeRuntimeTimingReport_,SpreadsheetApp,,Public,Reachable,Medium
updateDemoPMonthlySync,,8731,8800,,buildDemoPFreshRowsForPMRs_; clearSheetRuntimeCachesForSheet_; deleteRowNumberBatches_; enforceDemoPPostFlattenFormatting_; ensureOutputSheetHasFormattedRows_; getCurrentDemoPSheet_; getCurrentRawDataSheet_; getDataValues_; getDemoPMonthlySyncChangedPMRs_; getHeaders_; getPMRIndex_; markRuntimeStep_; normalizePMR_; notifyErrorWithTiming_; notify_; promptForLockedYearReportMonth_; removeActiveDemoPPMRsFromDisenrolledExclusion_; startRuntimeTiming_; writeRuntimeTimingReport_,,setValues,Public,Reachable,High
enforceDemoPPostFlattenFormatting_,demoSheet,8801,8819,buildDemoPFromScratch; updateDemoPMonthlySync,applyColumnWidths_; applyHiddenColumnSettings_; getHeadersForSheetType_; loadDashboardConfig_; lockFinalOutputRowHeights_; sortSheetAlphabeticallyByParticipantName_,SpreadsheetApp,,Private/helper,Reachable,Medium
sortSheetAlphabeticallyByParticipantName_,sheet,8820,8841,applySortOrderDisplayForMasterList_; assignSortOrderAndHideExtraRows; enforceDemoPPostFlattenFormatting_; prepareMasterListSortOrderBeforeFormatting_,buildHeaderIndexMap_; getHeaders_,,sort,Private/helper,Reachable,High
getDemoPMonthlySyncChangedPMRs_,monthParts,8842,8862,updateDemoPMonthlySync,getDataValues_; getMonthlySheetByPrefixAndDate_; getPMRIndex_; normalizePMR_,SpreadsheetApp,,Private/helper,Reachable,Medium
removeActiveDemoPPMRsFromDisenrolledExclusion_,demoSheet,8863,8922,updateDemoPMonthlySync,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; deleteRowNumberBatches_; findHeaderIndex_; getDataValues_; getHeaders_; getPMRIndex_; logBestEffortWarning_; normalizeCompareValue_; normalizePMR_,SpreadsheetApp,,Private/helper,Reachable,Medium
processDemoPDataWithFillBlankMask_,"data, changedPMRs",8923,8959,,combineAddressesData_; combineNotesSummaryData_; getPMRIndex_; handleLanguageData_; normalizeCompareValue_; normalizePMR_; populateDemoPNameData_; populateParticipantNameData_; runMasterContactProcessData_; splitPhoneNumbersData_,,,Private/helper,No static path,Low
buildDemoPFreshRowsForPMRs_,"rawSheet, demoHeaders, changedPMRs, monthParts, timing",8960,8982,updateDemoPMonthlySync,buildHeaderIndexMap_; flattenDemoPContactRowsInMemory_; mapRowsToHeaders_; markRuntimeStep_; normalizePMR_; populateDemoPUpdateColumns_; populateUniversalMetadataColumns_; processDemoPFreshRowsInMemory_; validateRawDataPreflightForDemoP_,,,Private/helper,Reachable,Low
processDemoPFreshRowsInMemory_,data,8983,8993,buildDemoPFreshRowsForPMRs_,combineAddressesData_; combineNotesSummaryData_; handleLanguageData_; populateDemoPNameData_; populateParticipantNameData_; runMasterContactProcessData_; splitPhoneNumbersData_; updateBannerColumnData_,,,Private/helper,Reachable,Low
flattenDemoPContactRowsInMemory_,"data, requireIntegrity",8994,9047,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_,buildDemoPContactSummaryForFlatRecord_; buildHeaderIndexMap_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_; sortDemoPFlatRows_,,,Private/helper,Reachable,Low
flattenDemoPContactsToPrimaryRows_,"demoSheet, requireIntegrity",9048,9108,,buildDemoPContactSummaryForFlatRecord_; clearSheetRuntimeCachesForSheet_; getDataValues_; getPMRIndex_; isPrimaryPMRRowValue_; normalizeCompareValue_; normalizePMR_; sortDemoPFlatRows_,,clearContent; setValues,Private/helper,No static path,High
buildDemoPContactSummaryForFlatRecord_,"row, headerMap",9109,9127,flattenDemoPContactRowsInMemory_; flattenDemoPContactsToPrimaryRows_,,,,Private/helper,Reachable,Low
sortDemoPFlatRows_,"rows, headerMap",9128,9141,flattenDemoPContactRowsInMemory_; flattenDemoPContactsToPrimaryRows_,,,sort,Private/helper,Reachable,High
processDemoP,,9142,9221,formatDemoPStructure,applyDemoPTemplateToSheet_; clearSheetRuntimeCachesForSheet_; ensureStandardTitleRows_; getOrCreateDemoPProcessingSheet_; lockFinalOutputRowHeights_; markRuntimeStep_; notifyErrorWithTiming_; notify_; processDemoPAsWorkingSource_; promptForLockedYearReportMonth_; setUniqueSheetName_; startRuntimeTiming_; trimExcessRows_; writeRuntimeTimingReport_,,,Public,Reachable,Low
processDemoPAsWorkingSource_,"sheet, monthParts, timing, sourceSheetName, status",9222,9269,processDemoP,clearSheetRuntimeCachesForSheet_; combineAddressesData_; combineNotesSummaryData_; getDataValues_; handleLanguageData_; markRuntimeStep_; populateDemoPNameData_; populateDemoPUpdateColumns_; populateParticipantNameData_; populateUniversalMetadataColumns_; runMasterContactProcessData_; splitPhoneNumbersData_; updateBannerColumnData_,,setValues,Private/helper,Reachable,High
markPrimaryPMRRowsForSequentialData_,data,9270,9299,,getPMRIndex_; normalizePMR_,,,Private/helper,No static path,Low
assignPrimaryPMRRowsInData_,data,9300,9320,assignPrimaryPMRRows_; processRawDataApprovedSyncColumns_,assignPrimaryRowForBlock_; buildParticipantBlocksForSortOrder_; getPMRIndex_; normalizePMR_,,,Private/helper,Reachable,Low
formatDemoPStructure,,9321,9324,,processDemoP,,,Public,Reachable,Low
buildRawDataSheetName_,monthParts,9325,9328,createIndexSheet; formatMonthlyRawDataSheetFromSource_; formatRawData; getOrCreateDemoPProcessingSheet_; organizeWorkbookTabs_,,Session; Utilities,,Private/helper,Reachable,Medium
getOrCreateDemoPProcessingSheet_,"monthParts, timing",9329,9403,processDemoP,buildRawDataSheetName_; clearSheetRuntimeCachesForSheet_; createActiveDemoPFromRawData_; getLastRawDataDisenrolledBuildResult_; markRuntimeStep_; updateExistingDemoPFromRawData_,Session; SpreadsheetApp; Utilities,,Private/helper,Reachable,Medium
deleteSheetIfExistsForDemoPProcess_,"ss, sheetName, protectedSheetName",9404,9417,,clearMonthlySheetLookupCache_,,deleteSheet,Private/helper,No static path,High
getLastRawDataDisenrolledBuildResult_,,9418,9425,getOrCreateDemoPProcessingSheet_,,,,Private/helper,Reachable,Low
setLastRawDataDisenrolledBuildResult_,result,9426,9432,createActiveDemoPFromRawData_; createDisenrolledList; updateExistingDemoPFromRawData_,,,,Private/helper,Reachable,Low
updateExistingDemoPFromRawData_,"demoSheet, rawSheet, monthParts, timing",9433,9486,getOrCreateDemoPProcessingSheet_,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; ensureOutputSheetHasFormattedRows_; ensureStandardTitleRows_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_; mapRowsToHeaders_; markRuntimeStep_; populateDemoPUpdateColumns_; populateUniversalMetadataColumns_; setLastRawDataDisenrolledBuildResult_; validateRawDataPreflightForDemoP_,,clearContent; setValue; setValues,Private/helper,Reachable,High
createActiveDemoPFromRawData_,"rawSheet, targetName, monthParts, timing",9487,9580,buildDemoPFromScratch; getOrCreateDemoPProcessingSheet_,applyGovernedTextAndNumberFormats_; applyUniversalFastCanvasFormatting_; buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; combineAddressesData_; combineNotesSummaryData_; deleteSheetIfExists_; flattenDemoPContactRowsInMemory_; getHeadersForSheetType_; getSheetDefinitionByType_; handleLanguageData_; loadDashboardConfig_; logBestEffortWarning_; mapRowsToHeaders_; markFrameworkStep_; populateDemoPNameData_; populateDemoPUpdateColumns_; populateParticipantNameData_; populateUniversalMetadataColumns_; resizeSheetGrid_; runMasterContactProcessData_; setLastRawDataDisenrolledBuildResult_; splitPhoneNumbersData_; updateBannerColumnData_; validateRawDataPreflightForDemoP_,SpreadsheetApp,copyTo; insertSheet; setValue; setValues,Private/helper,Reachable,High
populateDemoPUpdateColumns_,"data, monthParts, sourceSheetName, status",9581,9598,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; updateExistingDemoPFromRawData_,,Session; Utilities,,Private/helper,Reachable,Medium
populateUniversalMetadataColumns_,"data, monthParts, sourceSheetName, sourceWorkflow, status",9599,9641,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; updateExistingDemoPFromRawData_,buildColumnsUpdatedText_; buildSourceHashByPMR_; buildSourceHashForRow_; getPMRIndex_; normalizePMR_,Session; Utilities,,Private/helper,Reachable,Medium
buildSourceHashByPMR_,"data, pmrIdx",9642,9659,populateUniversalMetadataColumns_,buildSourceHashForRows_; normalizePMR_,,,Private/helper,Reachable,Low
buildSourceHashForRows_,"rows, headers",9660,9682,buildSourceHashByPMR_; buildSourceHashForRow_,computeStableHash_; normalizeHashValue_,,,Private/helper,Reachable,Low
buildSourceHashForRow_,"row, headers",9683,9686,populateUniversalMetadataColumns_,buildSourceHashForRows_,,,Private/helper,Reachable,Low
buildColumnsUpdatedText_,headers,9687,9702,populateUniversalMetadataColumns_,,,,Private/helper,Reachable,Low
normalizeHashValue_,value,9703,9710,buildSourceHashForRows_,,Session; Utilities,,Private/helper,Reachable,Medium
computeStableHash_,text,9711,9718,buildSourceHashForRows_; compactTemplateFormatSignature_,,Utilities,,Private/helper,Reachable,Medium
verifyPrimaryPMRColumnFromRawData_,data,9719,9727,,,,,Private/helper,No static path,Low
createOrRefreshDemoPTemplate_,ss,9728,9735,getOrCreateDemoPTemplate_,createOrRefreshTemplateFromDashboard_; getSheetDefinitionByType_; loadDashboardConfig_,,,Private/helper,No static path,Low
getOrCreateDemoPTemplate_,ss,9736,9742,,createOrRefreshDemoPTemplate_,SpreadsheetApp,,Private/helper,No static path,Medium
initializeDemoPTemplateTitleRows_,"sheet, monthParts",9743,9758,,,,setValue,Private/helper,No static path,High
applyDemoPTemplateFormatting_,"sheet, monthParts",9759,9780,,applyDemoPDateFormattingByHeader_; applyStandardFormatting_; getMonthDateParts_; getMonthPartsFromTitleRows_,,,Private/helper,No static path,Low
applyDemoPTemplateToSheet_,"targetSheet, monthParts",9781,9816,processDemoP,applyDashboardTemplateFormattingToActiveReportSheet_; clearSheetRuntimeCachesForSheet_; getBehaviorForSheetType_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_,,setValue,Private/helper,Reachable,High
applyDemoPDateFormattingByHeader_,sheet,9817,9840,applyDemoPTemplateFormatting_,getHeaders_,,,Private/helper,No static path,Low
