Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
normalizeDashboardQualityOutputRow_,14705,14734,Dashboard; Internal/private; Utility,Implement normalize dashboard quality output row,Dashboard Quality / validation,isDashboardQualityNotesLabel_,normalizeDashboardQualityRowsForSection_,RFF_DASHBOARD_QUALITY_COL_WIDTHS; isDashboardQualityNotesLabel_,None detected,";
  } else if (notesIndex === 3) {
    out[3] = source[notesIndex] || ; RFF_DASHBOARD_QUALITY_COL_WIDTHS",RFF_DASHBOARD_QUALITY_COL_WIDTHS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 30, branches 9)"
getDashboardQualitySectionLetter_,14736,14739,Dashboard; Internal/private; Utility,Resolve or return dashboard quality section letter,Dashboard Quality / validation,None detected,normalizeDashboardQualityRowsForSection_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 1)"
normalizeDashboardQualityIssueValue_,14741,14745,Dashboard; Internal/private; Utility,Implement normalize dashboard quality issue value,Dashboard Quality / validation,None detected,normalizeDashboardQualityRowsForSection_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 2)"
normalizeDashboardQualityRowsForSection_,14747,14770,Dashboard; Internal/private; Utility,Implement normalize dashboard quality rows for section,Dashboard Quality / validation,getDashboardQualitySectionLetter_; getDefaultDashboardQualityDetailHeader_; normalizeDashboardQualityIssueValue_; normalizeDashboardQualityOutputRow_,buildTimestampedDashboardQualitySectionRows_,getDashboardQualitySectionLetter_; getDefaultDashboardQualityDetailHeader_; normalizeDashboardQualityIssueValue_; normalizeDashboardQualityOutputRow_,None detected,", normalizeDashboardQualityIssueValue_(row[2], ; ].indexOf(letter) !== -1) {
      mapped = [row[0] || ",None detected,", normalizeDashboardQualityIssueValue_(row[2], ",None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 24, branches 8)"
buildTimestampedDashboardQualitySectionRows_,14772,14793,Dashboard; Internal/private,Build timestamped dashboard quality section rows,Dashboard Quality / validation,getDashboardQualitySectionTitleForKey_; getDefaultDashboardQualityDetailHeader_; normalizeDashboardQualityRowsForSection_; normalizeSectionRowForWidth_,buildCombinedFrameworkTestDashboard; flushStagedDashboardQualitySectionsRows_; runDashboardQualityDashboardVerificationSections_; runDashboardQualityTemplateAndFormatSections_; saveDashboardQualitySectionRows_; updateDashboardQualitySignoffSection_; updateDashboardQualitySummarySection_,RFF_DASHBOARD_QUALITY_COL_WIDTHS; RFF_DASHBOARD_QUALITY_SECTIONS; getDashboardQualitySectionTitleForKey_; getDefaultDashboardQualityDetailHeader_; normalizeDashboardQualityRowsForSection_; normalizeSectionRowForWidth_,None detected,RFF_DASHBOARD_QUALITY_COL_WIDTHS; RFF_DASHBOARD_QUALITY_SECTIONS,RFF_DASHBOARD_QUALITY_COL_WIDTHS; RFF_DASHBOARD_QUALITY_SECTIONS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 22, branches 3)"
getTimingProcessNameForDashboardQualitySection_,14795,14815,Dashboard; Internal/private; Utility,Resolve or return timing process name for dashboard quality section,Dashboard Quality / validation,None detected,No static caller detected,RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY,None detected,Care Plan Sync Validation; Dashboard Quality Signoff; Dashboard Quality Summary; Demo P Processing Validation; Disenrolled Exclusion Validation; Monthly Change Validation; Raw Data Validation; System Sheet Verification; Template Header Audit; Validate Templates; RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY; RFF_DEMO_P_PROCESSING_VALIDATION_KEY; RFF_DISENROLLED_EXCLUSION_VALIDATION_KEY; RFF_HEALTH_CHECK_SHEET; RFF_MASTER_LIST_HEALTH_KEY; RFF_MONTHLY_CHANGE_VALIDATION_KEY; RFF_SYSTEM_SHEET_VERIFICATION_KEY; RFF_VALIDATION_SHEET,RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY,Dashboard Quality Signoff; Dashboard Quality Summary,None detected,None detected,None detected,None detected,None explicit,None detected,"Medium (LOC 21, branches 18)"
dashboardQualityRowsEqualValues_,14819,14825,Dashboard; Internal/private,Implement dashboard quality rows equal values,Dashboard Quality / validation,None detected,runDashboardQualityDashboardVerificationSections_; runDashboardQualityTemplateAndFormatSections_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,None detected,"Low (LOC 7, branches 1)"
saveDashboardQualitySectionRows_,14827,14858,Dashboard; Internal/private,Implement save dashboard quality section rows,Dashboard Quality / validation,buildTimestampedDashboardQualitySectionRows_; ensureDashboardQualityReportSheet_; getDashboardQualitySectionTitleForKey_; hasDashboardQualityTemplateShell_; logBestEffortWarning_; replaceDashboardQualitySectionRows_,runDashboardQualityCarePlanSyncDiagnostics_; runDashboardQualityDashboardVerificationSections_; runDashboardQualityDemoPValidation_; runDashboardQualityDisenrolledExclusionValidation_; runDashboardQualityMasterListHealthCheck_; runDashboardQualityMonthlyChangeValidation_; runDashboardQualityPerformanceSummary_; runDashboardQualityRawDataValidation_; runDashboardQualitySectionIfDue_; runDashboardQualityWorkflowSyncVerification_; saveDashboardQualityRowsForHealthCheck_; saveDashboardQualityRowsForTemplateValidation_; updateFormatDashboardChangelog_; verifyFrameworkConfiguration,ML_DASHBOARD_QUALITY_STAGED_BUFFERS_; RFF_DASHBOARD_QUALITY_DEFER_WRITES_; RFF_QA_SECTION_PROP_PREFIX; RFF_TEST_DASHBOARD_SHEET; buildTimestampedDashboardQualitySectionRows_; ensureDashboardQualityReportSheet_; getDashboardQualitySectionTitleForKey_; hasDashboardQualityTemplateShell_; logBestEffortWarning_; replaceDashboardQualitySectionRows_,SpreadsheetApp; PropertiesService,Could not save Dashboard Quality section ; Could not write Dashboard Quality section ; ML_DASHBOARD_QUALITY_STAGED_BUFFERS_; RFF_DASHBOARD_QUALITY_DEFER_WRITES_; RFF_TEST_DASHBOARD_SHEET,ML_DASHBOARD_QUALITY_STAGED_BUFFERS_; RFF_DASHBOARD_QUALITY_DEFER_WRITES_; RFF_QA_SECTION_PROP_PREFIX; RFF_TEST_DASHBOARD_SHEET,Could not save Dashboard Quality section ; Could not write Dashboard Quality section ,getActiveSpreadsheet(); getSheetByName(),setProperty(),None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 32, branches 4)"
flushStagedDashboardQualitySectionsRows_,14860,14879,Dashboard; Internal/private,Implement flush staged dashboard quality sections rows,Dashboard Quality / validation,buildTimestampedDashboardQualitySectionRows_; getDashboardQualitySectionTitleForKey_; markFrameworkStep_; replaceDashboardQualitySectionsRows_,runDashboardQualityFull; runDashboardQualityTemplateAndFormatSections_,ML_DASHBOARD_QUALITY_STAGED_BUFFERS_; buildTimestampedDashboardQualitySectionRows_; getDashboardQualitySectionTitleForKey_; markFrameworkStep_; replaceDashboardQualitySectionsRows_,None detected, staged Dashboard Quality sections to sheet canvas; ML_DASHBOARD_QUALITY_STAGED_BUFFERS_,ML_DASHBOARD_QUALITY_STAGED_BUFFERS_, staged Dashboard Quality sections to sheet canvas,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 20, branches 3)"
getDashboardQualitySectionRows_,14881,14891,Dashboard; Internal/private; Utility,Resolve or return dashboard quality section rows,Dashboard Quality / validation,logBestEffortWarning_,getStoredDashboardQualityFailureNotes_; getStoredDashboardQualityOverallStatus_; getStoredSectionStatusAndNotes_; highlightFormatDashboardChangesFromChangelog_; runDashboardQualityDashboardVerificationSections_; runDashboardQualityTemplateAndFormatSections_; updateFormatDashboardChangelog_,RFF_QA_SECTION_PROP_PREFIX; logBestEffortWarning_,PropertiesService,Could not read Dashboard Quality section ,RFF_QA_SECTION_PROP_PREFIX,Could not read Dashboard Quality section ,getProperty(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 11, branches 3)"
deleteLegacyQualityReportSheet_,14893,14902,Internal/private,Implement delete legacy quality report sheet,Dashboard Quality / validation,deleteSheetSafely_; logBestEffortWarning_,writeFrameworkHealthCheckReport_; writeTemplateValidationReport_,RFF_TEST_DASHBOARD_SHEET; deleteSheetSafely_; logBestEffortWarning_,SpreadsheetApp,Could not delete legacy quality report sheet ; RFF_TEST_DASHBOARD_SHEET,RFF_TEST_DASHBOARD_SHEET,None detected,getActiveSpreadsheet(); getSheetByName(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 10, branches 3)"
deleteLegacyStandaloneQualityReports_,14904,14909,Internal/private,Implement delete legacy standalone quality reports,Dashboard Quality / validation,None detected,buildCombinedFrameworkTestDashboard,None detected,None detected,RFF_HEALTH_CHECK_SHEET; RFF_VALIDATION_SHEET,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 0)"
saveDashboardQualityRowsForTemplateValidation_,14911,14917,Formatter; Dashboard; Internal/private,Implement save dashboard quality rows for template validation,Dashboard Quality / validation,saveDashboardQualitySectionRows_,writeTemplateValidationReport_,saveDashboardQualitySectionRows_,None detected,", item.sheetType || ; Sheet Type; Template Name; RFF_VALIDATION_SHEET",None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 0)"
saveDashboardQualityRowsForHealthCheck_,14919,14930,Validator; Dashboard; Internal/private,Implement save dashboard quality rows for health check,Dashboard Quality / validation,saveDashboardQualitySectionRows_,writeFrameworkHealthCheckReport_,saveDashboardQualitySectionRows_,None detected,RFF_HEALTH_CHECK_SHEET,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 12, branches 4)"
getStoredDashboardQualityOverallStatus_,14932,14939,Dashboard; Internal/private; Utility,Resolve or return stored dashboard quality overall status,Dashboard Quality / validation,getDashboardQualitySectionRows_,No static caller detected,getDashboardQualitySectionRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 3)"
getStoredDashboardQualityFailureNotes_,14941,14951,Dashboard; Internal/private; Utility,Resolve or return stored dashboard quality failure notes,Dashboard Quality / validation,getDashboardQualitySectionRows_,No static caller detected,getDashboardQualitySectionRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 11, branches 4)"
forceSheetRowCount_,14953,14962,Internal/private,Implement force sheet row count,Sheet utilities,None detected,collectFrameworkSmokeValidationRows_; moveDisenrolledPMRsFromDemoPToExclusion_; trimOutputSheetToDataSize_,None detected,None detected,None detected,None detected,None detected,getMaxRows(),insertRowsAfter(),deleteRows(),None detected,None explicit,None detected,"Low (LOC 10, branches 3)"
buildCombinedFrameworkTestDashboard,14964,14996,Public entry point; Dashboard,Build combined framework test dashboard,Format Dashboard governance,buildCombinedFrameworkTestDashboardRows_; buildTimestampedDashboardQualitySectionRows_; deleteLegacyStandaloneQualityReports_; ensureDashboardQualityReportSheet_; getDashboardQualitySectionKeyForTitle_; markFrameworkStep_; replaceDashboardQualitySectionRows_; runFrameworkTimed_,No static caller detected,buildCombinedFrameworkTestDashboardRows_; buildTimestampedDashboardQualitySectionRows_; deleteLegacyStandaloneQualityReports_; ensureDashboardQualityReportSheet_; getDashboardQualitySectionKeyForTitle_; markFrameworkStep_; replaceDashboardQualitySectionRows_; runFrameworkTimed_,None detected,Build Dashboard Quality Report; Dashboard Quality Report shell verified; Dashboard Quality sections refreshed,None detected,Build Dashboard Quality Report; Dashboard Quality Report shell verified; Dashboard Quality sections refreshed,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 33, branches 3)"
updateDashboardQualitySignoffSection_,14998,15008,Dashboard; Internal/private,Implement update dashboard quality signoff section,Dashboard Quality / validation,appendCombinedDashboardSignOffRows_; buildTimestampedDashboardQualitySectionRows_; ensureDashboardQualityReportSheet_; replaceDashboardQualitySectionRows_; styleDashboardQualityUpdatedSections_,No static caller detected,RFF_QA_SECTION_PROP_PREFIX; appendCombinedDashboardSignOffRows_; buildTimestampedDashboardQualitySectionRows_; ensureDashboardQualityReportSheet_; replaceDashboardQualitySectionRows_; styleDashboardQualityUpdatedSections_,PropertiesService,") {
    signoffRows.shift();
  }
  replaceDashboardQualitySectionRows_(sheet, ; , buildTimestampedDashboardQualitySectionRows_(; , signoffRows.slice(1)));
  styleDashboardQualityUpdatedSections_(sheet, [",RFF_QA_SECTION_PROP_PREFIX,") {
    signoffRows.shift();
  }
  replaceDashboardQualitySectionRows_(sheet, ; , buildTimestampedDashboardQualitySectionRows_(; , signoffRows.slice(1)));
  styleDashboardQualityUpdatedSections_(sheet, [",None detected,setProperty(),None detected,None detected,None explicit,None detected,"Low (LOC 11, branches 1)"
updateDashboardQualitySummarySection_,15010,15019,Dashboard; Internal/private,Implement update dashboard quality summary section,Dashboard Quality / validation,buildFrameworkSummaryRows_; buildTimestampedDashboardQualitySectionRows_; ensureDashboardQualityReportSheet_; replaceDashboardQualitySectionRows_; styleDashboardQualityUpdatedSections_,No static caller detected,RFF_QA_SECTION_PROP_PREFIX; buildFrameworkSummaryRows_; buildTimestampedDashboardQualitySectionRows_; ensureDashboardQualityReportSheet_; replaceDashboardQualitySectionRows_; styleDashboardQualityUpdatedSections_,PropertiesService,None detected,RFF_QA_SECTION_PROP_PREFIX,SECTION Q - SUMMARY,None detected,setProperty(),None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 0)"
getDashboardQualitySectionBoundsMap_,15021,15048,Dashboard; Internal/private; Utility,Resolve or return dashboard quality section bounds map,Dashboard Quality / validation,None detected,replaceDashboardQualitySectionRows_; replaceDashboardQualitySectionsRows_; styleDashboardQualityUpdatedSections_; updateDashboardQualityTimestampsOnly_,None detected,None detected,None detected,None detected,None detected,getLastRow(); getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 28, branches 5)"
replaceDashboardQualitySectionsRows_,15050,15109,Dashboard; Internal/private,Implement replace dashboard quality sections rows,Dashboard Quality / validation,getDashboardQualitySectionBoundsMap_; hasDashboardQualityTemplateShell_; normalizeSectionRowForWidth_; rebuildDashboardQualityReportShellCompact_; replaceDashboardQualitySectionRows_; styleDashboardQualityUpdatedSections_; tryDashboardQualityAnchoredColumnWrite_,flushStagedDashboardQualitySectionsRows_; runDashboardQualityDashboardVerificationSections_; runDashboardQualityTemplateAndFormatSections_,RFF_DASHBOARD_QUALITY_COL_WIDTHS; getDashboardQualitySectionBoundsMap_; hasDashboardQualityTemplateShell_; normalizeSectionRowForWidth_; rebuildDashboardQualityReportShellCompact_; replaceDashboardQualitySectionRows_; styleDashboardQualityUpdatedSections_; tryDashboardQualityAnchoredColumnWrite_,None detected,RFF_DASHBOARD_QUALITY_COL_WIDTHS,RFF_DASHBOARD_QUALITY_COL_WIDTHS,None detected,getRange(),insertRowsAfter(); setValues(),clearContent(); deleteRows(),None detected,None explicit,None detected,"Low (LOC 60, branches 6)"
tryDashboardQualityAnchoredColumnWrite_,15111,15126,Dashboard; Internal/private,Implement try dashboard quality anchored column write,Dashboard Quality / validation,None detected,replaceDashboardQualitySectionRows_; replaceDashboardQualitySectionsRows_,None detected,None detected,None detected,None detected,None detected,getRange(); getValues(),setValues(),None detected,None detected,None explicit,None detected,"Low (LOC 16, branches 3)"
replaceDashboardQualitySectionRows_,15128,15200,Dashboard; Internal/private,Implement replace dashboard quality section rows,Dashboard Quality / validation,dashboardQualitySectionContentMatches_; getDashboardQualitySectionBoundsMap_; hasDashboardQualityTemplateShell_; logBestEffortWarning_; normalizeSectionRowForWidth_; rebuildDashboardQualityReportShellCompact_; styleDashboardQualityUpdatedSections_; tryDashboardQualityAnchoredColumnWrite_,buildCombinedFrameworkTestDashboard; replaceDashboardQualitySectionsRows_; runDashboardQualityDashboardVerificationSections_; saveDashboardQualitySectionRows_; updateDashboardQualitySignoffSection_; updateDashboardQualitySummarySection_,RFF_DASHBOARD_QUALITY_COL_WIDTHS; dashboardQualitySectionContentMatches_; getDashboardQualitySectionBoundsMap_; hasDashboardQualityTemplateShell_; logBestEffortWarning_; normalizeSectionRowForWidth_; rebuildDashboardQualityReportShellCompact_; styleDashboardQualityUpdatedSections_; tryDashboardQualityAnchoredColumnWrite_,None detected,Dashboard Quality Last Updated date-time format skipped for ; Dashboard Quality Last Updated date-time format skipped for anchored ; Dashboard Quality Last Updated date-time format skipped for unchanged ; Dashboard Quality section not found after shell repair: ; RFF_DASHBOARD_QUALITY_COL_WIDTHS,RFF_DASHBOARD_QUALITY_COL_WIDTHS,Dashboard Quality Last Updated date-time format skipped for ; Dashboard Quality Last Updated date-time format skipped for anchored ; Dashboard Quality Last Updated date-time format skipped for unchanged ; Dashboard Quality section not found after shell repair: ,getRange(),insertRowsAfter(); setNumberFormat(); setValue(); setValues(),clearContent(); deleteRows(),None detected,try/catch,logBestEffortWarning_,"Medium (LOC 73, branches 18)"
findDashboardQualitySectionRow_,15202,15215,Dashboard; Internal/private; Utility,Implement find dashboard quality section row,Dashboard Quality / validation,None detected,collectExistingDashboardQualitySectionBlocks_; getDashboardQualityFixedSectionStartRow_,None detected,None detected,None detected,None detected,None detected,getLastRow(); getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 14, branches 5)"
findNextDashboardQualitySectionRow_,15217,15226,Dashboard; Internal/private; Utility,Implement find next dashboard quality section row,Dashboard Quality / validation,None detected,collectExistingDashboardQualitySectionBlocks_,None detected,None detected,None detected,None detected,None detected,getLastRow(); getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 3)"
dashboardQualitySectionContentMatches_,15228,15246,Dashboard; Internal/private,Implement dashboard quality section content matches,Dashboard Quality / validation,logBestEffortWarning_,replaceDashboardQualitySectionRows_,logBestEffortWarning_,None detected,Dashboard Quality unchanged-section comparison skipped: ,None detected,Dashboard Quality unchanged-section comparison skipped: ,getValues(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 19, branches 11)"
mergeDashboardQualityStyleRanges_,15248,15264,Formatter; Dashboard; Internal/private,Implement merge dashboard quality style ranges,Dashboard Quality / validation,None detected,styleDashboardQualityUpdatedSections_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 17, branches 2)"
styleDashboardQualityUpdatedSections_,15266,15354,Formatter; Dashboard; Internal/private,Implement style dashboard quality updated sections,Dashboard Quality / validation,getDashboardQualitySectionBoundsMap_; logBestEffortWarning_; mergeDashboardQualityStyleRanges_,rebuildDashboardQualityReportShellCompact_; replaceDashboardQualitySectionRows_; replaceDashboardQualitySectionsRows_; styleDashboardQualityReport_; updateDashboardQualitySignoffSection_; updateDashboardQualitySummarySection_,RFF_DASHBOARD_QUALITY_COL_WIDTHS; RFF_DASHBOARD_QUALITY_SECTIONS; RFF_SYSTEM_SHEET_SECTION_COLOR; getDashboardQualitySectionBoundsMap_; logBestEffortWarning_; mergeDashboardQualityStyleRanges_,SpreadsheetApp,Dashboard Quality section styling skipped: ; RFF_DASHBOARD_QUALITY_COL_WIDTHS; RFF_DASHBOARD_QUALITY_SECTIONS; RFF_SYSTEM_SHEET_SECTION_COLOR; RFF_SYSTEM_SHEET_SUBHEADER_COLOR; RFF_SYSTEM_SHEET_TITLE_COLOR,RFF_DASHBOARD_QUALITY_COL_WIDTHS; RFF_DASHBOARD_QUALITY_SECTIONS; RFF_SYSTEM_SHEET_SECTION_COLOR,Dashboard Quality section styling skipped: ,getLastRow(); getRange(); getValues(),setBackgrounds(); setFontSizes(); setFontWeights(); setHorizontalAlignment(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,try/catch,logBestEffortWarning_,"Medium (LOC 89, branches 11)"
appendCombinedDashboardSignOffRows_,15356,15374,Dashboard; Internal/private,Implement append combined dashboard sign off rows,Format Dashboard governance,getLiveDashboardAuditStatus_; getLiveFrameworkHealthStatus_; getLiveTemplateValidationStatus_; getStoredSectionStatusAndNotes_,updateDashboardQualitySignoffSection_,getLiveDashboardAuditStatus_; getLiveFrameworkHealthStatus_; getLiveTemplateValidationStatus_; getStoredSectionStatusAndNotes_,None detected,", dashboardAudit.status, dashboardAudit.notes]);
  rows.push([; , templateValidation.status, templateValidation.notes]);
  rows.push([; RFF_MASTER_LIST_HEALTH_KEY",None detected,", dashboardAudit.status, dashboardAudit.notes]);
  rows.push([",None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 19, branches 0)"
buildFrameworkSummaryRows_,15376,15406,Process function; Internal/private,Build framework summary rows,Shared framework utilities,getStoredSectionStatusAndNotes_,updateDashboardQualitySummarySection_,RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY; getStoredSectionStatusAndNotes_,None detected,Care Plan Sync Validation; Dashboard Column Definitions; Dashboard Global Inputs; Dashboard Quality Report Section A; Dashboard Quality Report Section B; Dashboard Quality Report Section C; Dashboard Quality Report Section D; Dashboard Quality Report Section E; Dashboard Quality Report Section F; Dashboard Quality Report Section G; Dashboard Quality Report Section I; Dashboard Quality Report Section J; Dashboard Quality Report Section K; Dashboard Quality Report Section L; Dashboard Quality Report Section M; Dashboard Sheet Behaviors; Dashboard Sheet Definitions; Dashboard Sheet Headers; Dashboard Tab Organization; Master List Validation; Resolve failing Dashboard Quality sections; Some Dashboard Quality sections have not been run; Template Structure & Validation; RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY; RFF_HEALTH_CHECK_SHEET; RFF_MASTER_LIST_HEALTH_KEY; RFF_VALIDATION_SHEET,RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY,Dashboard Column Definitions; Dashboard Global Inputs; Dashboard Quality Report Section A; Dashboard Quality Report Section B; Dashboard Quality Report Section C; Dashboard Quality Report Section D; Dashboard Quality Report Section E; Dashboard Quality Report Section F; Dashboard Quality Report Section G; Dashboard Quality Report Section I; Dashboard Quality Report Section J; Dashboard Quality Report Section K; Dashboard Quality Report Section L; Dashboard Quality Report Section M; Dashboard Sheet Behaviors; Dashboard Sheet Definitions; Dashboard Sheet Headers; Dashboard Tab Organization; Resolve failing Dashboard Quality sections; Some Dashboard Quality sections have not been run,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 31, branches 4)"
getStoredSectionStatusAndNotes_,15408,15426,Internal/private; Utility,Resolve or return stored section status and notes,Shared framework utilities,getDashboardQualitySectionRows_,appendCombinedDashboardSignOffRows_; buildFrameworkSummaryRows_,getDashboardQualitySectionRows_,None detected,") !== -1 || statuses.indexOf(; ) !== -1) failures.push(row);
    if (statuses.indexOf(; ).trim().toUpperCase(); });
    if (statuses.indexOf(",None detected,Section has not been run,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 19, branches 8)"
runFrameworkHealthCheck,15429,15454,Public entry point; Validator,Run framework health check,Shared framework utilities,collectFrameworkHealthCheckRows_; formatFrameworkHealthCheckIssuesForTiming_; getFrameworkHealthCheckIssueRows_; markFrameworkStep_; writeFrameworkHealthCheckReport_,No static caller detected,collectFrameworkHealthCheckRows_; formatFrameworkHealthCheckIssuesForTiming_; getFrameworkHealthCheckIssueRows_; markFrameworkStep_; writeFrameworkHealthCheckReport_,None detected,Dashboard Quality Section I saved,None detected,Dashboard Quality Section I saved,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 26, branches 4)"
getFrameworkHealthCheckIssueRows_,15456,15460,Validator; Internal/private; Utility,Resolve or return framework health check issue rows,Shared framework utilities,None detected,runFrameworkHealthCheck,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
formatFrameworkHealthCheckIssuesForTiming_,15462,15472,Formatter; Validator; Internal/private; Utility,Format framework health check issues for timing,Timing/runtime instrumentation,None detected,runFrameworkHealthCheck,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 11, branches 4)"
appendRequiredFunctionChecks_,15474,15479,Process function; Internal/private,Implement append required function checks,Shared framework utilities,existsFunctionByName_,collectFrameworkHealthCheckRows_,existsFunctionByName_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 2)"
existsFunctionByName_,15481,15487,Internal/private; Utility,Implement exists function by name,Shared framework utilities,None detected,appendRequiredFunctionChecks_; runDashboardQualityCarePlanSyncDiagnostics_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,None detected,"Low (LOC 7, branches 1)"
writeFrameworkHealthCheckReport_,15489,15492,Validator; Internal/private,Implement write framework health check report,Shared framework utilities,deleteLegacyQualityReportSheet_; saveDashboardQualityRowsForHealthCheck_,runFrameworkHealthCheck; runFrameworkSmokeValidation,deleteLegacyQualityReportSheet_; saveDashboardQualityRowsForHealthCheck_,None detected,RFF_HEALTH_CHECK_SHEET,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
getRequiredHelperFunctionNames_,15494,15507,Internal/private; Utility,Resolve or return required helper function names,Shared framework utilities,None detected,collectFrameworkHealthCheckRows_,None detected,None detected,safeSheetName_,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 14, branches 0)"
